article,rank,timestamp,total.total,month,timeRange.start,timeRange.end
Petr_Pavel,3,1675209600000,95776,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Česko,5,1675209600000,69146,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Masopust,6,1675209600000,69038,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Naďa_Urbánková,7,1675209600000,63040,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Zlatá_labuť,9,1675209600000,56066,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Freddie_Mercury,10,1675209600000,48389,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Jaromír_Hanzlík,11,1675209600000,48126,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Lední_hokej_na_Zimních_olympijských_hrách_1998_–_turnaj_muži,12,1675209600000,47522,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Den_svatého_Valentýna,13,1675209600000,43847,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Karel_Gott,14,1675209600000,39715,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Ruská_invaze_na_Ukrajinu_(2022),15,1675209600000,37862,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Richterova_stupnice,16,1675209600000,37572,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Bílá_labuť,17,1675209600000,37359,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Praha,18,1675209600000,37213,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Josef_Mysliveček,19,1675209600000,35890,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Karel_IV.,20,1675209600000,35830,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Druhá_světová_válka,21,1675209600000,34746,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Spojené_státy_americké,22,1675209600000,32862,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
První_světová_válka,23,1675209600000,32802,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Harry_Potter,24,1675209600000,32291,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Tereza_Ramba,25,1675209600000,31928,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Markéta_Pekarová_Adamová,26,1675209600000,31275,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Wikipedie,27,1675209600000,30846,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Ukrajina,28,1675209600000,30761,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Zemětřesení_v_Turecku_a_Sýrii_2023,29,1675209600000,30525,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Zvěrokruh,30,1675209600000,30233,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Seznam_prezidentů_Československa,31,1675209600000,30034,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Arnošt_Goldflam,32,1675209600000,29477,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Jana_Fabiánová,33,1675209600000,28915,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Rusko,34,1675209600000,28417,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
"Avatar_(film,_2009)",35,1675209600000,27544,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Juraj_Jakubisko,36,1675209600000,27515,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Lubomír_Štrougal,37,1675209600000,27499,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Miloš_Zeman,38,1675209600000,26841,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Moldavsko,39,1675209600000,26354,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Dominik_Feri,40,1675209600000,26053,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Jakub_Jankto,41,1675209600000,25680,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Popeleční_středa,42,1675209600000,25618,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Raquel_Welchová,43,1675209600000,25615,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Eva_Burešová,44,1675209600000,24807,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Petr_Kolář_(diplomat),45,1675209600000,24614,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
